date,open,high,low,close,volume
2019-01-01,3701.23,3810.16,3642.0,3797.14,23741.686999999998
2019-01-02,3796.45,3882.14,3750.45,3858.56,35156.464
2019-01-03,3857.57,3862.74,3730.0,3766.78,29406.95
2019-01-04,3767.2,3823.64,3703.57,3792.01,29519.555
2019-01-05,3790.09,3840.99,3751.0,3770.96,30490.666
2019-01-06,3771.12,4027.71,3740.0,3987.6,36553.81
2019-01-07,3987.62,4017.9,3921.53,3975.45,31869.845999999998
2019-01-08,3976.76,4069.8,3903.0,3955.13,38901.42
2019-01-09,3955.45,4006.81,3930.04,3966.65,28989.439
2019-01-10,3966.06,3996.01,3540.0,3585.88,59402.227999999996
2019-01-11,3585.88,3658.0,3465.0,3601.31,38338.655
2019-01-12,3601.31,3618.19,3530.0,3583.13,21999.929
2019-01-13,3584.1,3611.1,3441.3,3476.81,26385.757
2019-01-14,3477.56,3671.87,3467.02,3626.09,35235.210999999996
2019-01-15,3626.08,3648.42,3516.62,3553.06,34137.998
2019-01-16,3553.06,3645.0,3543.51,3591.84,27480.179
2019-01-17,3591.84,3634.7,3530.39,3616.21,29755.44
2019-01-18,3613.32,3620.0,3565.75,3594.87,22713.448
2019-01-19,3594.87,3720.0,3594.23,3665.3,22171.577
2019-01-20,3665.75,3693.73,3475.0,3539.28,27901.938000000002
2019-01-21,3539.26,3559.51,3475.5,3526.9,19644.436
2019-01-22,3526.88,3608.5,3434.85,3570.93,29336.443
2019-01-23,3570.41,3607.98,3514.5,3552.82,24938.84
2019-01-24,3552.97,3589.0,3529.22,3569.62,20826.251
2019-01-25,3569.07,3587.15,3522.51,3565.29,17608.348
2019-01-26,3566.69,3662.94,3545.0,3565.25,19476.533
2019-01-27,3565.62,3579.0,3486.0,3550.84,22735.598
2019-01-28,3550.05,3557.75,3380.27,3434.15,40405.112
2019-01-29,3434.0,3443.45,3349.92,3411.04,29544.927
2019-01-30,3410.04,3478.0,3387.1,3458.18,23968.261
2019-01-31,3457.5,3489.2,3418.8,3434.1,29607.19
2019-02-01,3434.1,3488.0,3401.2,3462.07,25260.476
2019-02-02,3462.2,3526.4,3440.29,3504.77,17920.803
2019-02-03,3504.06,3511.09,3426.0,3458.11,19867.338
2019-02-04,3458.11,3484.88,3433.31,3463.22,23131.983
2019-02-05,3463.22,3478.97,3448.43,3471.59,25264.413
2019-02-06,3471.57,3482.72,3380.0,3405.37,35310.243
2019-02-07,3407.0,3426.45,3390.0,3398.4,18665.54
2019-02-08,3398.4,3733.58,3373.1,3659.04,47968.057
2019-02-09,3660.27,3680.02,3625.13,3665.18,24759.835
2019-02-10,3665.18,3684.99,3609.76,3680.06,23250.602
2019-02-11,3679.75,3684.9,3615.53,3631.05,24954.615
2019-02-12,3631.05,3667.6,3582.34,3631.46,29479.598
2019-02-13,3631.51,3670.0,3591.75,3609.4,25773.997
2019-02-14,3608.34,3626.4,3568.11,3590.56,21753.501
2019-02-15,3590.57,3653.23,3573.45,3602.47,20777.871
2019-02-16,3602.49,3648.2,3597.91,3618.41,19565.993
2019-02-17,3617.22,3700.11,3604.4,3667.58,25690.229
2019-02-18,3667.62,3925.0,3655.0,3898.6,64042.731999999996
2019-02-19,3897.35,3994.52,3856.0,3907.79,50207.174
2019-02-20,3907.35,3986.98,3870.66,3969.74,36205.142
2019-02-21,3969.74,4016.48,3901.03,3937.31,31103.885000000002
2019-02-22,3937.31,3988.0,3926.65,3962.0,23943.165
2019-02-23,3962.0,4162.02,3933.15,4117.76,33657.944
2019-02-24,4118.0,4198.0,3712.66,3743.56,62224.189
2019-02-25,3743.56,3872.66,3740.0,3827.92,38102.966
2019-02-26,3828.44,3841.51,3777.0,3809.23,28838.747
2019-02-27,3809.31,3838.85,3677.17,3818.07,31500.995
2019-02-28,3818.04,3888.0,3763.87,3813.69,32561.963
2019-03-01,3814.26,3857.0,3813.01,3823.0,23174.573
2019-03-02,3822.17,3841.31,3772.25,3819.93,19445.837
2019-03-03,3819.97,3835.0,3781.32,3807.75,16718.165
2019-03-04,3807.32,3830.0,3670.69,3715.3,34742.839
2019-03-05,3716.1,3877.1,3703.55,3857.73,32962.536
2019-03-06,3857.58,3907.0,3813.09,3861.84,24775.115999999998
2019-03-07,3861.84,3905.4,3840.4,3873.64,26455.259
2019-03-08,3873.63,3932.0,3800.0,3864.89,34730.367
2019-03-09,3864.88,3971.75,3854.75,3943.04,30979.746
2019-03-10,3943.43,3943.43,3881.69,3916.82,23187.563000000002
2019-03-11,3915.99,3936.98,3830.0,3871.61,38066.887
2019-03-12,3871.61,3905.2,3826.06,3882.73,26921.008
2019-03-13,3882.69,3893.56,3840.0,3866.0,24461.008
2019-03-14,3866.0,3920.0,3810.43,3877.12,27048.75
2019-03-15,3877.12,3939.22,3872.2,3923.76,21740.062
2019-03-16,3924.46,4056.98,3921.98,4005.98,28568.374
2019-03-17,4005.98,4012.0,3950.01,3981.14,18814.256
2019-03-18,3981.85,4037.0,3953.33,3987.81,22454.48
2019-03-19,3987.83,4031.0,3970.0,4015.53,19893.743
2019-03-20,4017.48,4050.0,3980.5,4043.04,23432.3
2019-03-21,4043.04,4069.32,3880.01,3980.64,35997.683
2019-03-22,3980.85,4008.0,3968.25,3986.93,20022.604
2019-03-23,3987.89,4018.83,3978.01,4006.01,17302.604
2019-03-24,4006.01,4006.02,3950.0,3992.18,17179.851
2019-03-25,3991.35,3999.3,3888.71,3936.12,33192.889
2019-03-26,3935.47,3958.98,3894.0,3948.55,29349.536
2019-03-27,3948.77,4048.0,3936.15,4038.05,32364.554
2019-03-28,4039.58,4039.7,4002.0,4027.81,20089.293
2019-03-29,4028.22,4123.71,4024.03,4103.25,30084.217
2019-03-30,4104.24,4140.0,4052.0,4106.97,19509.29
2019-03-31,4106.99,4116.12,4082.57,4103.95,13525.089
2019-04-01,4102.44,4158.7,4067.0,4144.56,25507.066
2019-04-02,4144.54,4897.99,4140.54,4857.29,105383.63799999999
2019-04-03,4857.19,5275.01,4753.5,4932.6,109890.126
2019-04-04,4932.59,5039.08,4777.0,4898.66,61054.256
2019-04-05,4898.64,5028.22,4880.62,5004.95,39768.553
2019-04-06,5004.96,5205.0,4928.59,5043.89,41770.842
2019-04-07,5042.07,5234.0,5026.0,5170.27,37615.486
2019-04-08,5170.27,5305.0,5039.0,5236.9,50178.428
2019-04-09,5238.38,5238.4,5076.68,5150.0,34067.011
2019-04-10,5150.0,5422.0,5135.0,5308.25,40073.618
2019-04-11,5307.86,5332.67,4927.0,5017.37,54696.599
2019-04-12,5017.37,5080.58,4861.22,5048.01,33276.678
2019-04-13,5047.0,5099.0,5004.0,5045.22,17292.454
2019-04-14,5047.45,5152.99,5000.0,5131.3,18281.61
2019-04-15,5131.28,5167.38,4950.0,5024.95,29057.191000000003
2019-04-16,5024.95,5197.72,5003.94,5173.72,24242.232
2019-04-17,5173.72,5230.4,5146.8,5202.82,23307.536
2019-04-18,5202.41,5287.0,5198.8,5258.44,22619.239
2019-04-19,5258.44,5320.0,5175.0,5258.68,24611.237
2019-04-20,5258.68,5333.42,5230.1,5291.73,19168.907
2019-04-21,5292.91,5314.35,5165.0,5256.14,25549.569
2019-04-22,5257.41,5400.0,5208.35,5357.14,29563.851
2019-04-23,5357.14,5600.0,5332.41,5493.31,41262.106
2019-04-24,5490.91,5582.2,5333.35,5415.0,48224.15
2019-04-25,5415.0,5491.84,5102.0,5219.9,49636.091
2019-04-26,5220.47,5510.0,5161.62,5314.1,48912.295
2019-04-27,5315.0,5342.5,5257.67,5295.69,15422.896
2019-04-28,5295.69,5340.0,5259.48,5307.52,14371.437
2019-04-29,5309.81,5332.0,5178.8,5238.14,19918.135000000002
2019-04-30,5238.14,5339.98,5192.15,5320.81,22238.067
2019-05-01,5321.94,5402.0,5316.2,5383.2,17217.474000000002
2019-05-02,5383.2,5538.0,5370.0,5492.87,22795.789
2019-05-03,5494.81,5844.0,5477.57,5772.69,46297.174
2019-05-04,5770.62,5900.0,5587.45,5829.45,39682.408
2019-05-05,5829.83,5839.9,5696.0,5775.62,23822.544
2019-05-06,5773.18,5805.0,5619.14,5747.79,25256.597999999998
2019-05-07,5749.92,6028.41,5747.74,5846.34,39905.064
2019-05-08,5846.34,6014.72,5772.2,5987.29,23074.188
